Title;Price;Area;Rooms;Price per m2;Floor;City_or_District;Province
Dwupokojowy apartament 44m2- Bielany/Żoliborz;855223;44.0;2;19437;3;Warszawa;mazowieckie
Nowe przestronne Centrum 7 min do PKP Pruszków;760000;67.0;3;11343;1;pruszkowski;mazowieckie
Wykończone mieszkanie w nowym bloku! 47m2;399000;46.86;2;8515;1;namysłowski;opolskie
3-pokojowe mieszkanie 57m2 + balkon;524888;57.68;3;9100;1;wrocławski;dolnośląskie
Na Pańskiej Górze | mieszkanie 19;420864;52.07;3;8083;1;Jaworzno;śląskie
Przytulne mieszkanie z ogródkiem;649000;52.23;2;12426;0;wołomiński;mazowieckie
Kawalerka/Pomieszczenie Gospodarcze/Metro;595000;29.2;1;20377;2;Warszawa;mazowieckie
Przytulna kawalerka po remoncie Łódź Dąbrowa;259000;27.18;1;9529;0;Łódź;łódzkie
Przestronne, 4 pokoje w Centrum Mińska;780000;84.5;4;9231;3;miński;mazowieckie
3-pokojowe mieszkanie 61m2 + 2 balkony;818166;61.24;3;13360;3;Kraków;małopolskie
Mieszkanie inwestycyjne 3-pokojowe w Rzeszowie;519000;59.0;3;8797;0;Rzeszów;podkarpackie
dwupoziomowe mieszkanie z tarasem- promocyjna cena;614677;101.0;5;6086;2;będziński;śląskie
Przedsprzedaż. Kolejny etap budowy.;384395;49.03;3;7840;1;Śląskie;śląskie
ZABRZE - os. Kopernika - 63,4m2 - do wprowadzenia!;510000;63.4;4;8044;3;Zabrze;śląskie
Dla Rodziny Lub Pary | 3 pokoje | 2 Balkony |;785000;61.0;3;12869;4;Kraków;małopolskie
Kawalerka ul. Skarbka z Gór bezpośrednio;435000;27.1;1;16052;1;Warszawa;mazowieckie
Rewelacyjne mieszkanie inwestycyjne i nie tylko;359000;83.1;5;4320;1;Góra;dolnośląskie
4-pokojowe mieszkanie 79m2 + balkon Bezpośrednio;743258;79.07;4;9400;3;Katowice;śląskie
2 pokojowe mieszkanie z balkonem;339000;42.0;2;8071;4;Góra;dolnośląskie
Dwupokojowe mieszkanie przy stacji metra;765000;45.8;2;16703;3;Warszawa;mazowieckie
Inwestycyjne M2- zabobrze;349000;47.45;2;7355;3;Góra;dolnośląskie
Możliwe 3 pokoje, dworzec Kraków-Płaszów, Bagry!;499000;45.11;2;11062;4;Kraków;małopolskie
Mieszkanie Kruszwica Spokojne Osiedle;269000;51.0;2;5275;3;inowrocławski;kujawsko-pomorskie
Przytulne mieszkanie z ogródkiem;649000;52.23;2;12426;0;wołomiński;mazowieckie
Winda / 2 pokoje / 2 piętro;389000;44.0;2;8841;2;kłodzki;dolnośląskie
Przestronne 3-pokojowe mieszkanie Wasilkowska 60m2;549000;60.0;3;9150;3;Białystok;podlaskie
Osiedle Premium 60m2 Bemowo 3 pokoje + garderoba;1250000;60.0;3;20833;2;Warszawa;mazowieckie
Bezczynszowe, 2 pokoje, centrum miasta, piwnica!;449000;64.19;2;6995;2;wejherowski;pomorskie
Dwupoziomowe z tarasem - Bezrzecze;750000;72.59;3;10332;2;policki;zachodniopomorskie
2-pokojowy apartament inwestycyjny 37m2;600000;37.01;2;16212;4;Gdańsk;pomorskie
Komfortowe, rozkładowe, z dużą garderobą;1050000;97.03;4;10821;2;Wrocław;dolnośląskie
4-pokojowe mieszkanie 66m2 + loggia Bezpośrednio;590000;66.38;4;8888;3;Chorzów;śląskie
3-pokojowe mieszkanie 64m2 + 2 balkony;985000;64.7;3;15224;3;Wrocław;dolnośląskie
Przestronne 4-pok. w cichej okolicy-gotowe!;479000;73.99;4;6474;4;stargardzki;zachodniopomorskie
Św. Faustyny;399000;41.0;3;9732;2;Tarnów;małopolskie
3-pokojowe mieszkanie 50m2 + loggia Bez Prowizji;579000;50.49;3;11468;1;Warszawa;mazowieckie
Klimatyczne mieszkanie przy parku na Powiślu;1130000;55.82;2;20244;3;Warszawa;mazowieckie
1-pokojowe mieszkanie 34m2 + balkon Bez Prowizji;391545;34.65;1;11300;3;Łódź;łódzkie
3 pokojowe,nowe budownictwo,,blisko Centrum !;1150000;81.6;3;14093;6;Warszawa;mazowieckie
PBA.Wyjątkowy Apartament C8 na sprzedaż!;467610;42.9;3;10900;0;gryficki;zachodniopomorskie
Mieszkanie Nad Morzem - Piękny Widok Z Balkonu;629000;42.42;2;14828;7;Gdańsk;pomorskie
2 Pokoje/Atrakcyjna Cena/Super Lokalizacja;629000;43.0;2;14628;2;Warszawa;mazowieckie
Przedsprzedaż Do 25.01;398000;27.0;2;14741;2;Gdańsk;pomorskie
Apartament blisko plaży z miejscem postojowym.;699900;63.38;3;11043;0;kołobrzeski;zachodniopomorskie
Kraków, Bieżanów - kawalerka do sprzedaży;429000;32.5;1;13200;10;Kraków;małopolskie
DWUPOZIOMOWE Sprzedam bezpośrednio;1050000;120.0;5;8750;3;Płock;mazowieckie
Dwustronne Mieszkanie | Wilanów | 53 M | Okazja !;898000;53.0;2;16943;1;Warszawa;mazowieckie
